Tanggal,Harga Rata-rata/kg ,Temperatur minimum (°C),Temperatur maksimum(°C),Temperatur rata-rata(°C),Kelembapan rata-rata(%),Curah hujan(mm),Lamanya penyinaran matahari(jam),Luas Tanam (Ha),Luas Panen (Ha),Produksi (Ton)
01-01-2021,4.429,22.6,28.8,25.8,89,-,1.3,"45.376,40",46.678.00,882.073
01-02-2021,4.429,23,30.4,27,79,12.5,1.6,"45.376,40",46.678.00,882.073
01-03-2021,4.429,23.4,29.8,26.7,78,0,3.4,"45.376,40",46.678.00,882.073
01-04-2021,4.429,23.2,30.7,26.1,80,0,2.5,"45.376,40",46.678.00,882.073
01-05-2021,4.429,23.2,31.8,26.1,84,0,3.1,"45.376,40",46.678.00,882.073
01-06-2021,4.429,22.8,33,26.7,84,21.4,5.4,"45.376,40",46.678.00,882.073
01-07-2021,4.429,22.6,32,25.7,88,3,5.4,"45.376,40",46.678.00,882.073
01-08-2021,4.429,22.2,31,27.3,82,17.6,5,"45.376,40",46.678.00,882.073
01-09-2021,4.429,23.3,30.4,26.8,80,8,2.5,"45.376,40",46.678.00,882.073
01-10-2021,4.429,22.6,29.5,25.3,90,18.6,6.4,"45.376,40",46.678.00,882.073
01-11-2021,4.429,22.4,30.4,26.2,89,13.3,2.5,"45.376,40",46.678.00,882.073
01-12-2021,4.429,22.8,31.6,26.4,86,9.1,4.4,"45.376,40",46.678.00,882.073
01-13-2021,4.429,22.4,30.8,26.9,80,62.9,5.3,"45.376,40",46.678.00,882.073
01-14-2021,4.429,22.6,29.2,26.3,82,60.1,-,"45.376,40",46.678.00,882.073
01-15-2021,4.429,23.4,30.6,26.7,78,0,1.2,"45.376,40",46.678.00,882.073
01-16-2021,4.429,24,29.3,26.1,80,0,0.5,"45.376,40",46.678.00,882.073
01-17-2021,4.429,23.6,31.5,27.4,78,0,0.4,"45.376,40",46.678.00,882.073
01-18-2021,4.429,22.8,31.8,26.2,85,1,6.4,"45.376,40",46.678.00,882.073
01-19-2021,4.429,22.9,29.8,25.5,87,22.1,4.5,"45.376,40",46.678.00,882.073
01-20-2021,4.429,22.9,31.6,26,86,3.5,2.9,"45.376,40",46.678.00,882.073
01-21-2021,4.429,22.8,32.1,26.2,85,22,4,"45.376,40",46.678.00,882.073
01-22-2021,4.429,23.2,30.8,27.2,82,2.6,4.3,"45.376,40",46.678.00,882.073
01-23-2021,4.429,23,30.4,26.6,82,0,4.2,"45.376,40",46.678.00,882.073
01-24-2021,4.429,23.8,31.8,27.1,79,-,2.3,"45.376,40",46.678.00,882.073
01-25-2021,4.429,22.8,31.9,26.6,80,5.5,2.9,"45.376,40",46.678.00,882.073
01-26-2021,4.429,23,30.9,26.6,81,1.5,5,"45.376,40",46.678.00,882.073
01-27-2021,4.429,22.2,29.2,24.8,91,40.5,7.3,"45.376,40",46.678.00,882.073
01-28-2021,4.429,22.5,31,26.2,83,9.7,-,"45.376,40",46.678.00,882.073
01-29-2021,4.071,23.3,29.6,24.4,93,3,5.4,"45.376,40",46.678.00,882.073
01-30-2021,4.071,22.6,29.2,25.8,86,14.9,1.1,"45.376,40",46.678.00,882.073
01-31-2021,4.071,23,31.9,26.2,84,0,0,"45.376,40",46.678.00,882.073
02-01-2021,4.071,23.2,31.8,26.4,86,10.6,5.5,"45.376,40",46.678.00,882.073
02-02-2021,4.071,23.2,32.2,26.1,88,1,5.8,"45.376,40",46.678.00,882.073
02-03-2021,4.071,24.4,31.6,26.5,88,4.2,4.2,"45.376,40",46.678.00,882.073
02-04-2021,4.071,22,32.4,26.3,88,39.3,3.1,"45.376,40",46.678.00,882.073
02-05-2021,4.071,23.2,33,26.7,86,12.2,6.5,"45.376,40",46.678.00,882.073
02-06-2021,4.071,24.2,31.2,27.2,84,0.3,4.4,"45.376,40",46.678.00,882.073
02-07-2021,4.071,23.6,31.8,26.1,85,0,1.5,"45.376,40",46.678.00,882.073
02-08-2021,3.714,24.6,30.2,25.5,92,1.2,2.4,"45.376,40",46.678.00,882.073
02-09-2021,3.714,23.9,32,26.1,89,4.2,2.7,"45.376,40",46.678.00,882.073
02-10-2021,3.714,23.4,28.2,24.9,95,108.1,1.7,"45.376,40",46.678.00,882.073
02-11-2021,3.714,23.6,31.2,26.6,86,5.2,0,"45.376,40",46.678.00,882.073
02-12-2021,3.714,23.8,30.2,26.1,88,8888,8.1,"45.376,40",46.678.00,882.073
02-13-2021,3.714,23,30.8,26.1,88,23.8,3.4,"45.376,40",46.678.00,882.073
02-14-2021,3.714,23.8,30.2,26.3,90,0,5,"45.376,40",46.678.00,882.073
02-15-2021,3.714,24.4,31.6,27.1,84,0.5,3.5,"45.376,40",46.678.00,882.073
02-16-2021,3.714,23.8,32,26.8,86,7.8,6.6,"45.376,40",46.678.00,882.073
02-17-2021,3.714,23.2,28,23.8,95,2.6,7,"45.376,40",46.678.00,882.073
02-18-2021,3.714,22.6,32,25.7,85,19.2,0,"45.376,40",46.678.00,882.073
